epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,11359.4,1.21043,0.50058,1.06571,0.97694,0.97408,0.98711,0.64082,1.36912,0.4416,1.16596,0.00175,0.00175,0.00175
127,11475.3,1.22139,0.50142,1.06735,0.97742,0.97421,0.98728,0.64077,1.36907,0.44155,1.1657,0.001684,0.001684,0.001684
128,11605.3,1.20617,0.49578,1.06063,0.97503,0.97605,0.98745,0.64034,1.36876,0.44137,1.16515,0.001618,0.001618,0.001618
129,11727.1,1.20295,0.4923,1.06007,0.97513,0.97639,0.98744,0.64077,1.36862,0.44166,1.1651,0.001552,0.001552,0.001552
130,11847.1,1.19348,0.49233,1.0598,0.97512,0.9761,0.98742,0.64166,1.36819,0.44099,1.1649,0.001486,0.001486,0.001486
131,11996.1,1.20084,0.4925,1.05933,0.97557,0.97546,0.98738,0.64154,1.3678,0.44101,1.16467,0.00142,0.00142,0.00142
132,12128.4,1.20179,0.49514,1.06235,0.97514,0.9768,0.98777,0.64184,1.36741,0.44103,1.16442,0.001354,0.001354,0.001354
133,12249.7,1.19187,0.48418,1.05651,0.97419,0.97618,0.98741,0.64237,1.36653,0.44054,1.1639,0.001288,0.001288,0.001288
134,12373.9,1.19629,0.4923,1.05887,0.97467,0.97654,0.98782,0.64268,1.36633,0.43983,1.16372,0.001222,0.001222,0.001222
135,12501.1,1.18599,0.48857,1.05993,0.97419,0.97617,0.9878,0.64198,1.36608,0.43944,1.16383,0.001156,0.001156,0.001156
136,12629.4,1.17564,0.48175,1.05378,0.97479,0.97605,0.98779,0.64266,1.36594,0.43953,1.16385,0.00109,0.00109,0.00109
137,12750.4,1.1686,0.47775,1.05003,0.97465,0.97601,0.98774,0.64294,1.36623,0.43931,1.16409,0.001024,0.001024,0.001024
138,12867.8,1.17325,0.47531,1.04931,0.97427,0.97557,0.98769,0.64302,1.36606,0.43867,1.16424,0.000958,0.000958,0.000958
139,12987.8,1.17865,0.47852,1.05187,0.97427,0.97557,0.98771,0.64297,1.36612,0.43902,1.16425,0.000892,0.000892,0.000892
140,13106.5,1.17673,0.48316,1.05539,0.97433,0.97557,0.98774,0.6435,1.36564,0.439,1.16411,0.000826,0.000826,0.000826
141,13228.3,1.12422,0.39933,1.04111,0.97418,0.97561,0.98778,0.64327,1.36615,0.4387,1.16425,0.00076,0.00076,0.00076
142,13349.6,1.11554,0.39623,1.03975,0.97463,0.97505,0.98781,0.64322,1.36601,0.43839,1.16428,0.000694,0.000694,0.000694
143,13470.1,1.10761,0.39336,1.03584,0.97463,0.97504,0.98786,0.64258,1.36607,0.43831,1.16429,0.000628,0.000628,0.000628
144,13590.4,1.10503,0.39213,1.03694,0.97466,0.97462,0.98788,0.64344,1.36603,0.43802,1.16419,0.000562,0.000562,0.000562
145,13711.5,1.09916,0.38862,1.0311,0.97472,0.9751,0.98789,0.64398,1.36602,0.43773,1.16399,0.000496,0.000496,0.000496
146,13835.2,1.09597,0.38731,1.03095,0.97527,0.97557,0.98823,0.6445,1.36596,0.43772,1.164,0.00043,0.00043,0.00043
147,13956.5,1.09011,0.38351,1.02707,0.97535,0.97557,0.98831,0.64498,1.36576,0.43773,1.16391,0.000364,0.000364,0.000364
148,14109.5,1.08854,0.38405,1.02869,0.97419,0.9762,0.98804,0.64548,1.36556,0.43742,1.16391,0.000298,0.000298,0.000298
149,14278.2,1.08451,0.38208,1.02661,0.97419,0.9762,0.98804,0.6455,1.36519,0.43775,1.16391,0.000232,0.000232,0.000232
150,14474,1.08485,0.38073,1.02963,0.97419,0.97634,0.98808,0.6459,1.36519,0.43737,1.16394,0.000166,0.000166,0.000166
